Mesocosm;Clim;Ferti;Plant;H;NMP;PO4;DOC;MBC;NO3;NH4;TDN;DON;MBN;MBP;AG;BG;CB;XYL;LAP;NAG;PHOS;SIR;DEA;NEA;pH;SOM;BBM_MS;ABM_MS;ABM_MF;Soil_N;Soil_C;ABM_N;ABM_C;BBM_N;BBM_C;BBM_CN;ABM_CN;St_ABM_N;St_ABM_C;St_BBM_N;St_BBM_C;NP.Mic;CP.Mic;CN.Mic;NP.min;DNP;DCP;DCN;EEC;EEN;EEP;EEA;DCN.MicCN;DCP.MicCP;DNP.MicNP;logCN.Mic;logNO3;logNH4;logDON;MF_Mic_mean;Ascomycota;Basidiomycota;Blastocladiomycota;Chytridiomycota;Mucoromycota;Olpidiomycota;Zoopagomycota;Unknown.x;Fungi_shannon;Fungi_Richness;Acidobacteria;Actinobacteria;Armatimonadetes;Bacteroidetes;Chlamydiae;Chloroflexi;Cyanobacteria;Deinococcus-Thermus;Elusimicrobia;Firmicutes;Fusobacteria;Gemmatimonadetes;Ignavibacteriae;Nitrospirae;Planctomycetes;Proteobacteria;Spirochaetes;Tenericutes;Verrucomicrobia;Unknown.y;GP;GN;GPGN;Bact_shannon;Bact_Richness
11;Drought;F;P;0.113095238;0.888910415;1.856689306;87.50623201;354.3843447;121.5206232;42.64141898;134.1284034;0;42.01484988;12.22164173;14.69751496;402.2365069;118.846472;109.9940938;371.9914784;161.1577925;941.2011149;12.28936463;1.722328129;1.608571429;5.59;0.093959732;0.25;1.26;5.74;0.419553995;3.652157068;4.037947178;43.61824036;0.874619484;26.62076187;30.436964139253;10.8020829488919;1.27195336107;13.7397457134;0.05466371775;1.663797616875;3.43774190147202;28.9964599297741;8.43474023380231;88.4165388627493;72.2406290414644;47.1302504555924;0.652406423932725;645.77458766;533.1492709;941.2011149;2120.12497346;0.0773475419335619;1.62537946251839;21.0139769394937;2.24439864625308;4.80827936846813;3.77600667601828;0;-0.297863671143059;0.826413813172955;0.0605296343001261;0;0.0165389465515569;0.0650402560869143;0.00174604714327287;0.0170724609564458;0.0126588417887287;2.69364959805795;154;0.0438172876700191;0.367285454787116;4.43046386956714e-05;0.0830268929156882;0.00101900669000044;0.0201586106065305;0;0;0.000221523193478357;0.018342120420008;0;0.0291524522617518;0;0.012405298834788;0.01913960391653;0.273581143945771;4.43046386956714e-05;0;0.099242390678304;0.0325196048026231;0.405786185813655;0.561694209383722;0.722432560340748;5.8230013503353;1308
12;Normal;NF;P;0.230923695;2.817310218;0.875552698;76.24522102;617.6961812;10.11733418;0.06533554;17.69201882;7.509349108;122.8995704;14.35675954;23.12853691;295.1927212;77.4009909;85.71146747;404.2855523;133.1305205;806.9373218;15.0652647;2.179716179;0.404857143;6.03;0.07310705;0.2;0.24;1.79;0.393017411;3.510956764;4.687633038;45.13600922;0.738295138;16.37180138;22.1751445151736;9.62874202270267;0.28125798228;2.7081605532;0.0369147569;0.818590069;8.56039763413074;43.0247633164719;5.02602392497867;11.6299906827539;20.2066864283708;87.082389437169;4.30958285742995;481.43371648;537.4160728;806.9373218;1825.78711108;0.857453709285365;2.02400624023491;2.36048455831136;1.79608741099207;2.40850552806774;0.0632898105729473;2.1411654541137;0.276748117160725;0.342484248424843;0.468721872187219;0;0.0228772877287729;0.14033903390339;0.00615061506150615;0.0078007800780078;0.0116261626162613;3.02804691676628;142;0.0551149705374153;0.216915511054007;4.43046386956714e-05;0.0950334500022152;0.00177218554782686;0.0295954986487085;8.86092773913429e-05;4.43046386956714e-05;0.000797483496522085;0.015772451375659;0;0.037481724336538;0;0.0176775508395729;0.028177750210447;0.356120685835807;0.000177218554782685;0.000132913916087014;0.111603384874396;0.033450002215232;0.262327765717071;0.704000708874219;0.372624292007552;5.92506647532615;1382
13;Normal;NF;NP;0.241312741;1.56729389;1.118119994;78.5838104;526.5218668;54.87875669;1.297471374;69.34834868;13.17212062;129.8531809;19.32959074;19.56966386;402.5252599;113.602405;98.73690257;410.1452337;154.144006;1031.47837;14.22843499;1.737820712;0.76;5.82;0.073791349;NA;NA;NA;0.318730891;3.19722724;NA;NA;NA;NA;NA;NA;0;0;0;0;6.71784429616951;27.2391626849312;4.05474754758202;50.2416810051248;62.0222776196953;70.2820903138237;1.13317493344529;634.43423133;564.2892397;1031.47837;2230.20184103;0.279468677185844;2.58018541637126;9.23246727451842;1.62032791009418;4.02318428449914;0.83180911554005;2.65127669811575;0.330652238365755;0.602091173355566;0.18514095139374;0.000450683912837731;0.0545327534533655;0.122157874574667;0.00547580954097843;0.0188385875566172;0.0113121662122277;3.2988097833218;161;0.0449692082761065;0.225953657347924;0;0.115014842053963;0.00132913916087014;0.0206902662708786;4.43046386956714e-05;0;0.000708874219130742;0.0142660936600062;0;0.0705772894422046;0;0.0212662265739223;0.0154623189047893;0.340481148376235;0.000265827832174028;0;0.101014576226131;0.0279562270169688;0.260910017278809;0.711089451065527;0.366915887850467;5.84741069499255;1365
14;Normal;F;P;0.216699801;3.357060289;2.832765108;62.76119505;503.9965629;18.6477965;13.03447946;35.10435694;3.42208098;105.3295556;10.801039;10.24902286;421.9954652;84.69707372;91.73038892;355.5204538;136.2622131;924.2691032;15.74242773;1.675695056;0.284285714;5.73;0.073604061;0.63;1.22;6.41;0.341239661;3.518414259;4.116583824;39.65838623;0.760364175;13.39653111;17.6185721927259;9.63380995639845;1.25555806632;12.09580780015;0.1197573575625;2.109953649825;9.751798470499;46.6618593729733;4.78494910596585;11.1842227477761;12.3922583065083;22.1554532964122;1.78784631085169;608.6719507;491.7826669;924.2691032;2024.7237208;0.373639566745363;0.474808625162603;1.27076644826052;1.75525956302109;2.97796519462282;2.64151712041924;1.48661039524813;-0.0285455600416039;0.444839857651245;0.199180416262267;0;0.0519788633667637;0.092526690391459;0.194543297746145;0.00668607786045508;0.0102447967216655;3.16097289170616;129;0.0391209959682779;0.231846174294449;0.000132913916087014;0.123344114128749;0.0015506623543485;0.0214877497674006;0;0;0.000221523193478357;0.0137344379956581;0;0.0492667582295866;0;0.0172788090913118;0.0129369544991361;0.377519826325816;0.000398741748261043;0;0.0848433831022109;0.0263169553852289;0.267068362057507;0.706614682557264;0.377954730704119;5.78906132751343;1295
15;Drought;NF;NP;0.11752988;2.828406269;1.976612294;101.7909819;518.3323508;74.11616384;6.647363879;88.86988047;8.106352744;144.3913751;9.495553764;25.72536439;274.7759042;98.16168883;84.3819043;296.0281804;132.0845404;740.9961949;12.08985355;1.811631095;0.6475;5.78;0.072234763;NA;NA;NA;0.390271157;3.936188936;NA;NA;NA;NA;NA;NA;0;0;0;0;15.2062089993554;54.5868480851666;3.58977363046112;40.8595696607561;44.9607040995162;51.497697453864;1.14539348271501;483.04486172;428.1127208;740.9961949;1652.15377742;0.319071228613343;0.943408517991679;2.95673327266659;1.52383070487395;4.31903576650339;2.03436099747294;2.208972273698;-0.0796951487825766;0.10737507975077;0.821941982162976;1.35745992099583e-05;0.0166424586314089;0.0334613870525473;0.000638006162868041;0.0146469925475451;0.00528051909267391;1.1951589307191;146;0.0311904656417527;0.31637942492579;0;0.106198218953524;0.000708874219130743;0.0239245048956626;0;0;0.000531655664348057;0.00717735146869878;0;0.0354437109565372;0;0.0165699348721811;0.0170129812591378;0.329892339727969;0.000132913916087014;4.43046386956714e-05;0.0881662310043862;0.0266270878560987;0.347481281290151;0.625847326215055;0.555217329746567;5.75255603316683;1277
16;Drought;NF;NP;0.151340996;2.628053801;1.409766186;96.63890051;491.1644948;73.41281341;10.1655621;91.54011924;7.961743727;108.2692658;8.774173704;21.63877679;325.4221095;88.98791746;68.9955722;319.3680956;136.7273503;811.6415156;13.50015653;1.67449416;0.423928571;5.8;0.074492099;NA;NA;NA;0.294925958;3.031948328;NA;NA;NA;NA;NA;NA;0;0;0;0;12.3395398190763;55.9784329977518;4.53650896374694;59.2852746363148;64.9328379053631;68.5495945850414;1.05569996316732;505.04437595;456.0954459;811.6415156;1772.78133745;0.232711975575016;1.22457151645875;5.26217661739544;1.71136415118243;4.30962815026301;2.41283422885245;2.1929648204407;-0.234257373525783;0.512129207983998;0.159339490147678;0;0.0973741328680258;0.166531897689067;0.00278758990509427;0.0374515895646253;0.0243860918415115;3.59177392828805;181;0.031544902751318;0.321252935182313;4.43046386956714e-05;0.10389437774135;0.00128483452217447;0.0213991404900093;0;4.43046386956714e-05;0.000398741748261043;0.0127154313056577;0;0.031544902751318;0;0.0140445704665278;0.0148863586017456;0.342164724646671;0.000221523193478357;0;0.0752292765052501;0.0293296708165346;0.355411811616676;0.615258517566789;0.577662562108447;5.73023531010434;1305
17;Drought;F;NP;0.134241245;1.682863249;3.362676016;93.42349274;380.7107835;243.0692302;65.15969284;239.1748385;0;211.8816339;10.22192996;18.49831368;230.4214905;63.52736554;55.91132371;204.4464071;103.971646;544.1302724;10.62047205;1.471481445;1.616071429;5.54;0.074157303;NA;NA;NA;0.333532125;3.265858889;NA;NA;NA;NA;NA;NA;0;0;0;0;20.7281437780464;37.2445110649144;1.79680879598881;91.6617960140707;71.126340260548;27.782484038153;0.390607529311659;368.35849343;308.4180531;544.1302724;1220.90681893;0.217389591025851;0.745948416123123;3.43138975791356;1.02847905149301;5.49745191537723;4.19207140802026;0;-0.0200769338589006;0.528435573918833;0.202181967185125;0.00223660173123218;0.0783835003670758;0.120964299738779;0.00640248587184784;0.039917365249014;0.0214782059380926;3.37702373873062;171;0.0445261618891498;0.312746444552745;0;0.0994639138717824;0.00119622524478313;0.0234814585087059;0.000132913916087014;0;0.0003101324708697;0.015639537459572;0;0.0472287448495858;0;0.0194497363873997;0.0190509946391387;0.294049887023171;4.43046386956714e-05;4.43046386956714e-05;0.0877674892561251;0.0348677506534933;0.351867440521023;0.613087590270701;0.573926868044515;5.81839888834939;1287
18;Normal;F;P;0.171026157;2.641191327;2.335571575;66.28961521;605.5192164;20.39439411;8.452402353;34.59836272;5.751566259;109.435462;11.82082294;8.755527253;412.7683455;64.26448209;57.41190913;249.5806614;112.3674922;827.9963852;16.27517665;1.213068419;0.6025;5.61;0.07038835;1.56;2.1;11.18;0.364254296;3.792584419;3.881645203;48.052845;0.52158457;10.730443;20.5727769132434;12.379504691171;2.037863731575;25.227743625;0.2034179823;4.18487277;9.25785476658193;51.2247936944397;5.53311701101056;12.3510650548143;14.8136597868982;28.3826091735168;1.91597549706248;543.200263973;361.9481536;827.9963852;1733.144802773;0.346274169378635;0.554079521390002;1.60011797121414;1.87688416646059;3.06312893023432;2.2462689264466;1.90977451633807;0.0349152407879628;0.730352821296649;0.0915806903579163;0;0.0179594956056553;0.105082155139473;0.030951471150172;0.00751496624633805;0.0165584002037962;2.65706137188739;134;0.0381462939169731;0.323468167117097;0;0.11350848433831;0.00168357627043552;0.0204687430774002;0;0.000132913916087014;0.0003101324708697;0.0141774843826149;0;0.0296841079260998;0;0.0122280802800053;0.0182535111426166;0.31872757077666;8.86092773913429e-05;0;0.0786407336848168;0.0304815914226222;0.358247308493199;0.611271100084179;0.586069435384504;5.81654345080121;1319
19;Drought;NF;P;0.120967742;2.193034278;0.767574859;67.30601305;461.8943656;23.15394238;3.612497697;32.87993081;6.113490733;66.19996888;9.533210599;8.670140007;162.8554585;32.23325825;33.77243021;167.8720324;66.43381536;373.3776738;12.2444617;2.235925127;0.4525;5.81;0.075688073;0.12;0.83;3.65;0.355742633;3.698746681;3.98243928;47.54911423;1.076071501;32.09243011;29.8236967340705;11.9396959719622;0.8263561506;9.866441202725;0.03228214503;0.9627729033;6.94414208020791;48.4510817004768;6.97725955788999;34.8714392650528;42.8361226588845;87.6865783979514;2.04702416920931;237.531286967;234.30584776;373.3776738;845.214808527;0.293385125237961;1.80979609371835;6.16867024955831;2.07659493868345;3.18444761232413;1.52876951007113;1.961993084374;-0.501507996949355;0.445615061945176;0.187396351575456;0.000390205833577212;0.0213637693883524;0.28543556726173;0.000292654375182909;0.034435664813189;0.025070724807336;3.58940391754319;152;0.0388994727747995;0.338576048912321;4.43046386956714e-05;0.0917106021000399;0.000531655664348057;0.021842186876966;8.86092773913428e-05;0;0.000177218554782685;0.0110761596739179;0;0.0272916574365336;0;0.0130255637765274;0.0204687430774002;0.321252935182314;0;0;0.0842674227991671;0.0307474192547962;0.371494395463205;0.597669576004608;0.621571534469978;5.89591085444878;1361
20;Normal;NF;NP;0.239520958;1.626891008;0.786616528;75.53507693;532.1851791;39.85742396;0.275932593;48.53708356;8.40372701;122.0500723;11.70634373;17.0218606;283.4632865;91.44956484;76.97076386;230.4448481;120.1339569;546.8555283;15.16526277;1.979181212;0.547428571;5.75;0.081364829;NA;NA;NA;0.327679127;3.392383814;NA;NA;NA;NA;NA;NA;0;0;0;0;10.4259771552086;45.4612636852754;4.36038397250503;51.0202304737233;61.7036152080445;96.0252858175388;1.55623435504991;468.9054758;350.578805;546.8555283;1366.3398091;0.356903053690442;2.11224409603556;5.91825728077856;1.67903560917831;3.71008854188073;0.243677356724706;2.24110610111993;-0.0032892739955296;0.598011961924017;0.25873978603319;0;0.0407295088872041;0.0549869429702636;0.0120461629180355;0.0279883750315896;0.00749726223570035;2.96880389926499;155;0.0413805325417571;0.231491737184883;4.43046386956714e-05;0.0975588144078685;0.00252536440565327;0.018740862168269;4.43046386956714e-05;0;0.00137344379956582;0.0117407292543529;0;0.0750077533117717;0;0.0220637100704444;0.0101014576226131;0.384918700987993;0.000974702051304771;4.43046386956714e-05;0.0741216605378583;0.0278676177395774;0.261973328607505;0.710070444375526;0.368939913895302;5.89906999686898;1323
